JourneyID,OriginType,Origin,DestinationType,Destination,OutwardDate,OutwardTime,OutwardArrDep,ReturnDate,ReturnTime,ReturnArrDep
Game01,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game02,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game03,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game04,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game05,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game06,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game07,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game08,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game09,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game10,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game11,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game12,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game13,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game14,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game15,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game16,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game17,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game18,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game19,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game20,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game21,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game22,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game23,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game24,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game25,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game26,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game27,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game28,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game29,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game30,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game31,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game32,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game33,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game34,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game35,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game36,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game37,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game38,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game39,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game40,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game41,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game42,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game43,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game44,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game45,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game46,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game47,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game48,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game49,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game50,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game51,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game52,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game53,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game54,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game55,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game56,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game57,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game58,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game59,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game60,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game61,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game62,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game63,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game64,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game65,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game66,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game67,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game68,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game69,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game70,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game71,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game72,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game73,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game74,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game75,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game76,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game77,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game78,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game79,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game80,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game81,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game82,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game83,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game84,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game85,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game86,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game87,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game88,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game89,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game90,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game91,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game92,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game93,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game94,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game95,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game96,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game97,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game98,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game99,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game100,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game101,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game102,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game103,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game104,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game105,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game106,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game107,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game108,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game109,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game110,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game111,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game112,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game113,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game114,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game115,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game116,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game117,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game118,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game119,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game120,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game121,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game122,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game123,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game124,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game125,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game126,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game127,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game128,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game129,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game130,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game131,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game132,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game133,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game134,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game135,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game136,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game137,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game138,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game139,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game140,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game141,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game142,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game143,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game144,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game145,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game146,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game147,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game148,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game149,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game150,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game151,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game152,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game153,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game154,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game155,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game156,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game157,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game158,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game159,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game160,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game161,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game162,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game163,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game164,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game165,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game166,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game167,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game168,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game169,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game170,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game171,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game172,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game173,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game174,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game175,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game176,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game177,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game178,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game179,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game180,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game181,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game182,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game183,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game184,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game185,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game186,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game187,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game188,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game189,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game190,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game191,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game192,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game193,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game194,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game195,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game196,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game197,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game198,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game199,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game200,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game201,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game202,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game203,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game204,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game205,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game206,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game207,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game208,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game209,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game210,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game211,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game212,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game213,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game214,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game215,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game216,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game217,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game218,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game219,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game220,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game221,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game222,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game223,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game224,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game225,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game226,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game227,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game228,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game229,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game230,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game231,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game232,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game233,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game234,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game235,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game236,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game237,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game238,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game239,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game240,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game241,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game242,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game243,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game244,c,519090|185732,c,530268|179545,15082013,900,a,,,
Game245,n,9400ZZLUWSM4,n,490014376C,15082013,900,a,15082013,1900,d
Game246,n,490014376C,n,9400ZZLUWSM4,15082013,1900,a,,,
Game247,p,SW1A 0AA,p,HA9 0WS,15082013,900,a,15082013,1700,d
Game248,p,HA9 0WS,p,SW1A 0AA,15082013,1100,d,,,
Game249,c,530268|179545,c,519090|185732,15082013,1900,d,15082013,900,a
Game250,c,519090|185732,c,530268|179545,15082013,900,a,,,
