Region,Comments,
Scotland,Aberdeen,http://www.aberdeenshire.gov.uk/web/transport.nsf/html/5G5DM7?OpenDocument,"1 bus site, 1 rail site"
Wales,Aberystwyth,http://www.ceredigion.gov.uk/index.cfm?articleid=1133,1 site
South West,Barnstaple,http://www.devon.gov.uk/index/transport/parking/park_and_ride.htm,1 site
South West,Basingstoke,http://www.basingstoke.gov.uk/transport/centreshuttle.asp,1 site
South West,Bath,http://www.bathnes.gov.uk/BathNES/transportandroads/Parking/parkandride/default.htm,3 sites
South West,Bristol,http://www.bristol-city.gov.uk/Fuguri/frame.html?D+DTT03700+BG+F+CMM00107+DMM00108+DTT01507+DTT03502,4 sites
East Anglia,Cambridge,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,"3 routes (2 of which serve CPs on both sides of City), plus 1 to Addenbrookes Hospital.  "
South East,Canterbury,http://www.canterbury.gov.uk/cgi-bin/buildpage.pl?mysql=1566,3 sites
South East,Chatham and Rochester,http://www.medway.gov.uk/index/environment/publictransport/buses/20119.htm,1 site serves both 12-15 minutes
South West,Cheltenham,http://www.cheltenham.gov.uk/libraries/templates/ourservice.asp?URN=2886&FolderID=0,2 sites
North West,Chester,http://www.chestercc.gov.uk/main.asp?page=183,4 sites
West Midlands,Coventry,http://www.centro.org.uk/wwwroot/AboutCentro/usrACParkRide.asp?hdWhichMenu=FACILITIES,2 sites
Yorkshire and Humber,Doncaster,http://www.doncaster.gov.uk/Living_in_Doncaster/Neighbourhoods/Transport_Strategy/Lakeside_Park_and_Ride.asp,1 site
South West,Dorchester,http://www.westdorset-dc.gov.uk/index.jsp?articleid=1795,Wednesdays only 1 site 
North East,Durham,http://www.durham.gov.uk/durhamcc/usp.nsf/pws/Transport+and+Streets+-+Park+and+Ride,1 sat only 2 under development for 2005
Scotland,Edinburgh,http://www.edinburgh.gov.uk/transportedinburgh/roads/Rides/ride.html,1 site
South West,Exeter,http://www.exeter.gov.uk/residents/transport/local_transport_and_highways/public_transport/bus_travel/park_ride.xml,"4 sites (2 operated by Stagecoach, 1 by Devon CC and 1 by Dartline to the hospital)."
Scotland,Falkirk,http://www.falkirk.gov.uk/DevServices/TransportPlanning/Businfo/parkandride.htm,1 site (additional sites are available at Xmas with a separate URL - URL not working at present)
South West,Gloucester,http://www.gloucestershire.gov.uk/index.cfm?articleID=1888,"2 sites (run by council), 1 site run by Stagecoach"
South East,Guildford,http://www.guildfordborough.co.uk/GuildfordWeb/Environment/Parking/Park+and+Ride.htm,"4 sites weekdays, 2 sat only"
South East,Horsham,http://www.horsham.gov.uk/your_area/your_area_1931.asp,1 site
Yorkshire and Humber,Hull,http://www.hullcc.gov.uk/publictransport/parkandride.php,4 sites
East Anglia,Ipswich,http://www.suffolkcc.gov.uk/transport/park-and-ride/index.shtml,3 sites
West Midlands,Kidderminster,http://www.wyreforestdc.gov.uk/wfdc_html/clacs/parkride.htm,1 site
London,Kingston,http://www.kingston.gov.uk/transport_and_streets/parking/park_ride.htm,1 site (seasonal: early November to mid-January only)
East Midlands,Leicester,http://www.leicester.gov.uk/departments/page.asp?pgid=7486,1 site
South East,Maidstone,http://www.digitalmaidstone.co.uk/cgi-bin/buildpage.cgi?mysql=379,4 sites
North West,Manchester,http://www.gmpte.com/content.cfm?subcategory_id=341237,1 tram site also mention of Horwich parkway and 4 sites being developed on Bury Metrolink line.
Wales,Millennium Stadium,http://www.cardiff.gov.uk/traffic/internet/community_safety_and_public_transport/Public%20Transport/amansingh/carparks.htm,Very good example of venue/event site
North East,Newcastle,http://www.newcastle.gov.uk/parking.nsf/a/parkride,Metro based at 3 stations also buses for Saturday shoppers (1 site)
East Anglia,Norwich,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,5 sites
East Midlands,Nottingham,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,5 tram & 2 bus sites to City centre also from 1 bus site to QMC
South East,Oxford,http://www.oxfordshire.gov.uk/index/travel/publictransport/parkandride.htm,2 sites
Scotland,Perth,http://www.perthshire.com/residents/Public+transport/Park+and+ride/Park+and+Ride.htm,2 sites 
East Anglia,Peterborough,http://www.peterborough.gov.uk/transport/parking_parkride.shtml,Saturdays before Christmas only 
South West,Plymouth,http://www.plymouth.gov.uk/homepage/yourplymouth/citycentre/transportcitycentre/publictransport-2.htm,2 sites
North West,Preston,http://www.lancashire.gov.uk/environment/bus/park_and_ride/parkandride.asp,2 sites
South East,Reading,http://www.wokingham.gov.uk/maps-travel-and-transport/park-and-ride,1 site in Wokingham plus 1 other site
South West,Salisbury,http://www.salisbury.gov.uk/transport/park-and-ride/,1 site (5 planned)
Yorkshire and Humber,Sheffield,http://www.sypte.co.uk/more/parkride.html,"3 park and ride sites at tram stops, also at Meadowhall for train, bus and tram"
West Midlands,Shrewsbury,http://www.shropshireonline.gov.uk/passtrans.nsf/open/8267C5EAF00699EA80256C8B00411BEA,3 sites
West Midlands,Solihull,http://www.solihull.gov.uk/about/towncentre/parkandride.htm,1 site
North West,Southport,http://www.sefton.gov.uk/content-3348,2 sites plus 8 rail stations with smaller car parks
Scotland,Stirling,http://www.stirling.gov.uk/index/services_homepage/roads/rt-park_and_ride.htm,1 site Saturday only
North West,Stoke,http://www.stoke.gov.uk/navigation/category.jsp?categoryID=42789,"Little information on web site, although this is not a dedicated branded service but served by a number of services"
Wales,Swansea,http://www.swansea.gov.uk/index.cfm?articleid=736,2 sites
South West,Swindon,http://www.swindon.gov.uk/roadstransport/roadsandtransport-carparkinggeneral/parkandride.htm,2 sites
South West,Truro,http://www.cornwall.gov.uk/Newsdesk/ns3-2004/ns04-304.htm,1 site (summer only)
Yorkshire and Humber,Whitby,http://www.scarborough.gov.uk/content/parking_services/car_parking_in_whitby.html,"""Busy days only"""
South East,Winchester,http://www.winchester.gov.uk/ServiceL.asp?id=310,2 routes
South East,Windsor,http://www.windsor.gov.uk/transport/park_and_ride.htm,1 site plus 1 from Legoland to town centre
West Midlands,Wolverhampton,http://www.centro.org.uk/wwwroot/AboutCentro/usrACMetroParkRide.asp?hdWhichMenu=FACILITIES,3 tram sites
West Midlands,Worcester,http://www.worcestershire.gov.uk/home/cs-transport-park-ride.htm,1 site
Yorkshire and Humber,York,http://www.york.gov.uk/parking/ride/,5 sites 10-20 minutes
