POIReference,POILongName,POIEasting,POINorthing
"""PI00001""","""St Paul's Cathedral, London""",531962,181136
"""PI00002""","""Royal Albert Hall, London""",526600,179610
"""PI00003""","""The O2, London""",539088,179953
"""PI00004""","""Wembley Stadium""",519370,185533
"""PI00005""","""Wembley Arena""",519090,185732
"""PI00006""","""Chester Zoo""",341508,370189
"""PI00007""","""Drayton Manor theme park""",419493,301373
"""PI00008""","""Millennium Stadium, Cardiff""",317938,176106
"""PI00009""","""Eden Project, Cornwall""",205007,54488
"""PI00010""","""London Zoo""",528011,183480
"""PI00011""","""Whipsnade Zoo""",500563,217757
"""PI00012""","""Westfield shopping centre, Shepherd's Bush, West London""",523560,180300
"""PI00013""","""Westfield Stratford City shopping centre, East London""",538520,184560
"""PI00014""","""Bluewater Shopping Centre, Kent""",558140,173500
"""PI00015""","""Harrods department store, Knightsbridge, London""",527597,179438
"""PI00016""","""Selfridges department store, Oxford Street, London""",528290,181140
"""PI00017""","""Legoland, Windsor""",494129,174707
"""PI00018""","""Brixton Academy, London""",531020,175720
"""PI00019""","""Hammersmith Apollo, London""",523367,178345
"""PI00020""","""Shepherd's Bush Empire, London""",523334,179781
"""PI00021""","""Royal Festival Hall, London""",530794,180218
"""PI00022""","""Birmingham N.E.C.""",419319,283960
"""PI00023""","""SECC, Glasgow""",256639,665455
"""PI00024""","""The Shard, London""",532775,180230
"""PI00025""","""British Museum, London""",530085,181669
"""PI00026""","""Tate Modern, London""",531946,180437
"""PI00027""","""National Gallery, London""",530032,180569
"""PI00028""","""Natural History Museum, London""",526652,179089
"""PI00029""","""Science Museum, London""",526677,179171
"""PI00030""","""Victoria & Albert Museum, London""",526954,179125
"""PI00031""","""National Maritime Museum, Greenwich""",538717,177689
"""PI00032""","""Tower of London""",533597,180606
"""PI00033""","""St Paul’s Cathedral, London""",532008,181196
"""PI00034""","""National Portrait Gallery, London""",529976,180601
"""PI00035""","""Tate Britain, Pimlico, London""",530117,178543
"""PI00036""","""British Library, Euston Road, London""",530018,182893
"""PI00037""","""Westminster Abbey, London""",530142,179487
"""PI00038""","""Scottish National Gallery of Modern Art, Edinburgh""",323448,673745
"""PI00039""","""Scottish National Portrait Gallery, Edinburgh""",325571,674254
"""PI00040""","""Old Royal Naval College, Greenwich""",538380,177852
"""PI00041""","""Edinburgh Castle""",325066,673533
"""PI00042""","""Royal Botanic Gardens, Kew""",518744,176780
"""PI00043""","""Kelvingrove Art Gallery & Museum, Glasgow""",256767,666288
"""PI00044""","""Imperial War Museum, London""",531411,179148
"""PI00045""","""Roman Baths & Pump Room, Bath""",375047,164739
"""PI00046""","""Canterbury Cathedral""",615050,157926
"""PI00047""","""Merseyside Maritime Museum, Liverpool""",334058,389837
"""PI00048""","""Stonehenge""",412179,142334
"""PI00049""","""Royal Horticultural Society, Wisley, Surrey""",506500,158290
"""PI00050""","""World Museum, Liverpool""",334865,390802
"""PI00051""","""Chatsworth House, Bakewell, Derbyshire""",426030,370174
"""PI00052""","""Royal Botanic Garden, Edinburgh""",324970,675370
"""PI00053""","""Houses of Parliament, London""",530169,179585
"""PI00054""","""National Railway Museum, York""",459375,452009
"""PI00055""","""Tate Liverpool""",333981,389782
"""PI00056""","""St Fagans National History Museum, Cardiff, Wales""",311735,177212
"""PI00057""","""Leeds Castle, Kent""",583673,153281
"""PI00058""","""Hampton Court Palace, Surrey""",531964,178675
"""PI00059""","""National Museum of Scotland, Edinburgh""",325830,673300
"""PI00060""","""National War Museum, Edinbugh""",325066,673533
"""PI00061""","""National Museum of Flight, Edinburgh""",354972,678266
"""PI00062""","""National Museum of Rural Life, East Kilbride, Scotland""",260784,655798
"""PI00063""","""National Media Museum, Bradford, West Yorkshire""",416142,432721
"""PI00064""","""Blenheim Palace, Oxfordshire""",444279,216732
"""PI00065""","""York Minster""",460351,452179
"""PI00066""","""Gallery of Modern Art, Glasgow""",259126,665288
"""PI00067""","""International Slavery Museum, Liverpool""",334058,389837
"""PI00068""","""Falkirk Wheel, Scotland""",285266,680148
"""PI00069""","""V&A Museum of Childhood, Bethnal Green, London""",535020,182910
"""PI00070""","""Imperial War Museum, Duxford, Cambridge""",545885,246183
"""PI00071""","""Stirling Castle, Scotland""",279065,694044
"""PI00072""","""National Museum, Cardiff """,318356,176955
"""PI00073""","""Beaulieu National Motor Museum, Brockenhurst, Hants""",438582,102769
"""PI00074""","""Dover Castle""",632491,141696
"""PI00075""","""Churchill War Rooms, London""",529954,179751
"""PI00076""","""Waddesdon Manor (National Trust)""",473311,216515
"""PI00077""","""Urquhart Castle, Loch Ness, Scotland""",252899,828583
"""PI00078""","""Attingham Park (National Trust), Shrewsbury""",355011,309896
"""PI00079""","""Royal Armouries Museum, Leeds""",430986,432898
"""PI00080""","""Belton House (National Trust), Grantham, Lincolnshire""",492980,339302
"""PI00081""","""National Waterfront Museum, Swansea, Wales""",265881,192624
"""PI00082""","""Kensington Palace, London""",525824,180003
"""PI00083""","""Walker Art Gallery, Liverpool""",334973,390811
"""PI00084""","""Harewood House, Leeds""",431145,444624
"""PI00085""","""Imperial War Museum North, Manchester""",380267,397039
"""PI00086""","""Calke Abbey (National Trust), Ticknall, Derbyshire""",436686,322657
"""PI00087""","""Royal Horticultural Society, Harlow Carr, Harrogate""",428128,454109
"""PI00088""","""People’s Palace and Winter Gardens, Glasgow""",260056,664264
"""PI00089""","""HMS Belfast, London""",533247,180313
"""PI00090""","""Anglesey Abbey (National Trust), Lode, Cambridge""",553021,262257
"""PI00091""","""Tate St Ives, Cornwall""",151653,40786
"""PI00092""","""Lady Lever Art Gallery, Wirral, nr Liverpool""",333579,384785
"""PI00093""","""Wallington Hall (National Trust)""",402891,584311
"""PI00094""","""National Railway Museum “Locomotion”, Shildon, Co Durham""",423853,525461
"""PI00095""","""Bodnant Garden (National Trust), Colwyn Bay""",280011,372346
"""PI00096""","""Chartwell (National Trust), Westerham, Kent""",545504,151523
"""PI00097""","""Burrell Collection, Pollok Country Park, Glasgow""",255557,662177
"""PI00098""","""Killerton House & Gardens (National Trust)""",297349,100089
"""PI00099""","""Museum of Transport, Glasgow""",258100,665300
"""PI00100""","""Sudbury Hall (National Trust), Ashbourne, Derbyshire""",415868,332110
"""PI00101""","""Big Pit: National Coal Museum, Blaenafon, Torfaen""",323764,208716
"""PI00102""","""St Mungo Museum of Religious Life and Art, Glasgow""",260133,665499
"""PI00103""","""Royal Horticultural Society, Rosemoor""",249935,118129
"""PI00104""","""1066 Battle of Hastings:Abbey & Battlefield""",574909,115704
"""PI00105""","""Wimpole Hall & Gardens (National Trust), Royston, Herts""",533592,251011
"""PI00106""","""Royal Horticultural Society, Hyde Hall, Chelmsford""",578214,199508
"""PI00107""","""Kenwood House, London""",527087,187419
"""PI00108""","""Dunster Castle (National Trust), Dunster, nr Minehead""",299178,143472
"""PI00109""","""Castle Drogo (National Trust), Drewsteignton, nr Exeter""",272184,90038
"""PI00110""","""Clifford’s Tower, York""",460462,451482
"""PI00111""","""Natural History Museum at Tring""",492471,211168
"""PI00112""","""National Conservation Centre, Liverpool""",334632,390549
"""PI00113""","""Burghley House, Stamford, Lincolnshire""",504802,306096
"""PI00114""","""Royal Armouries Museum (Fort Nelson), nr Portsmouth""",460704,107158
"""PI00115""","""Sudley House, Liverpool""",338798,386694
"""PI00116""","""Scotland Street School Museum, Glasgow""",257753,664142
"""PI00117""","""Royal Botanic Garden, Edinburgh""",324880,675506
"""PI00118""","""Royal Botanic Garden, Dawyck, Scottish Borders""",316216,635183
"""PI00119""","""Royal Botanic Garden, Benmore, Argyll;""",214341,685554
"""PI00120""","""Holkham Hall """,588456,342842
"""PI00121""","""Logan Botanic Garden (Galloway) (RBGE)""",209644,542829
"""PI00122""","""Glasgow Museums Resource Centre""",251842,660152
"""PI00123""","""London Transport Museum""",530470,180917
"""PI00124""","""Addenbrooke's Hospital, Cambridge""",546742,255310
"""PI00125""","""Airedale General Hospital, Keighley, West Yorkshire""",402613,444432
"""PI00126""","""Alder Hey Children's Hospital, Liverpool""",340480,391990
"""PI00127""","""Alexandra Hospital, Redditch""",406011,264721
"""PI00128""","""Alnwick Infirmary""",419205,612969
"""PI00129""","""Arrowe Park Hospital, Wirral""",327322,386522
"""PI00130""","""Barnet Hospital""",523512,196204
"""PI00131""","""Barnsley Hospital""",433332,407058
"""PI00132""","""Basildon University Hospital""",570070,187327
"""PI00133""","""Basingstoke and North Hampshire Hospital""",462237,153942
"""PI00134""","""Bassetlaw Hospital, Worksop""",459320,380490
"""PI00135""","""Bedford Hospital (South Wing)""",504586,248973
"""PI00136""","""Bedford Hospital (North Wing)""",505408,250359
"""PI00137""","""Berwick Infirmary""",399809,653340
"""PI00138""","""Birmingham Children's Hospital""",407264,287478
"""PI00139""","""Blackpool Victoria Hospital""",333195,436523
"""PI00140""","""Bradford Royal Infirmary""",413606,434418
"""PI00141""","""Bristol Eye Hospital""",358789,173441
"""PI00142""","""Bristol Royal Infirmary""",358683,173482
"""PI00143""","""Broomfield Hospital, Chelmsford""",570348,211317
"""PI00144""","""Calderdale Royal Hospital""",409519,423218
"""PI00145""","""Central Middlesex Hospital""",520177,182728
"""PI00146""","""Charing Cross Hospital, Hammersmith, London""",523601,177974
"""PI00147""","""Chase Farm Hospital, Enfield""",531184,197909
"""PI00148""","""Chelsea and Westminster Hospital""",526296,177786
"""PI00149""","""Cheltenham General Hospital""",395077,221664
"""PI00150""","""Chesterfield Royal Hospital""",440139,371189
"""PI00151""","""Chorley and South Ribble Hospital""",358090,418973
"""PI00152""","""Birmingham City Hospital""",404780,287693
"""PI00153""","""Clacton Hospital""",617286,214412
"""PI00154""","""Colchester General Hospital""",599718,227470
"""PI00155""","""Conquest Hospital, St Leonards (Hastings)""",580720,112782
"""PI00156""","""Countess Of Chester Hospital""",340202,368620
"""PI00157""","""County Hospital, Louth""",532555,387812
"""PI00158""","""Croydon University Hospital""",531498,167247
"""PI00159""","""Cumberland Infirmary""",338730,556140
"""PI00160""","""Darent Valley Hospital""",557163,173128
"""PI00161""","""Darlington Memorial Hospital""",428269,515250
"""PI00162""","""Derriford Hospital, Plymouth""",249930,59566
"""PI00163""","""Dewsbury and District Hospital""",423135,422838
"""PI00164""","""Diana, Princess Of Wales Hospital, Grimsby""",526245,407060
"""PI00165""","""Doncaster Royal Infirmary""",459074,404230
"""PI00166""","""Dorset County Hospital, Dorchester""",368677,90447
"""PI00167""","""Ealing Hospital""",514830,180154
"""PI00168""","""East Surrey Hospital, Redhill""",528275,148230
"""PI00169""","""Eastbourne District General Hospital""",559950,100925
"""PI00170""","""Epsom Hospital""",520359,160000
"""PI00171""","""Fairfield General Hospital, Bury""",383200,411580
"""PI00172""","""Frenchay Hospital, North Bristol""",363458,177725
"""PI00173""","""Friarage Hospital, Northallerton""",437130,494269
"""PI00174""","""Frimley Park Hospital, Camberley""",487794,158592
"""PI00175""","""Furness General Hospital, Barrow-In-Furness""",321180,471850
"""PI00176""","""George Eliot Hospital, Nuneaton""",435607,290395
"""PI00177""","""Gloucestershire Royal Hospital, Gloucester""",383990,218635
"""PI00178""","""Good Hope Hospital, Birmingham""",412835,296620
"""PI00179""","""Grantham and District Hospital""",491500,336830
"""PI00180""","""Hammersmith Hospital, London""",522450,181200
"""PI00181""","""Harrogate District Hospital""",431710,455415
"""PI00182""","""Heartlands Hospital, Birmingham""",411630,286930
"""PI00183""","""Hereford County Hospital""",351533,240149
"""PI00184""","""Hexham General Hospital""",394080,563950
"""PI00185""","""Hillingdon Hospital, Uxbridge""",506826,181990
"""PI00186""","""Hinchingbrooke Hospital, Huntingdon""",522364,272042
"""PI00187""","""Homerton University Hospital""",535608,185224
"""PI00188""","""Horton General Hospital, Banbury""",445450,239747
"""PI00189""","""Hospital of St Cross, Rugby""",450488,274309
"""PI00190""","""Huddersfield Royal Infirmary""",412091,417674
"""PI00191""","""Hull Royal Infirmary""",508438,428680
"""PI00192""","""James Paget University Hospital, Gorleston, Great Yarmouth""",652294,302458
"""PI00193""","""John Radcliffe Hospital, Oxford""",453910,207520
"""PI00194""","""Kent and Sussex Hospital, Tunbridge Wells""",558270,139895
"""PI00195""","""Kettering General Hospital""",485743,279080
"""PI00196""","""King George Hospital, Goodmayes, Essex""",546602,188726
"""PI00197""","""King's College Hospital, Denmark Hill""",532608,176102
"""PI00198""","""King's Mill Hospital, Sutton in Ashfield""",451505,359889
"""PI00199""","""Kingston Hospital, Kingston upon Thames, Surrey""",519636,169842
"""PI00200""","""Leeds General Infirmary""",429776,434099
"""PI00201""","""Leicester Royal Infirmary""",458660,303690
"""PI00202""","""Leighton Hospital, Crewe""",368345,357938
"""PI00203""","""Lincoln County Hospital""",499050,371856
"""PI00204""","""Lister Hospital, Stevenage""",523000,226454
"""PI00205""","""Luton and Dunstable Hospital""",504969,222835
"""PI00206""","""Macclesfield District General Hospital""",390666,373988
"""PI00207""","""Maidstone Hospital""",573308,155665
"""PI00208""","""Manchester Royal Infirmary""",384890,396157
"""PI00209""","""Manor Hospital, Walsall""",400189,298460
"""PI00210""","""Croydon University Hospital""",531644,167197
"""PI00211""","""Medway Maritime Hospital""",577126,167518
"""PI00212""","""Milton Keynes Hospital""",486870,237160
"""PI00213""","""Moorfields Eye Hospital, London""",532575,182694
"""PI00214""","""Musgrove Park Hospital, Taunton""",532565,182695
"""PI00215""","""New Cross Hospital, Wolverhampton""",393581,299872
"""PI00216""","""Newark Hospital""",480035,352888
"""PI00217""","""Newham General Hospital, Plaistow, London""",541384,182343
"""PI00218""","""Norfolk and Norwich University Hospital""",618277,307204
"""PI00219""","""North Devon District Hospital, Branstaple""",256386,134582
"""PI00220""","""North Manchester General Hospital, Crumpsall""",384930,402300
"""PI00221""","""North Middlesex Hospital, Edmonton, London""",533602,192386
"""PI00222""","""North Tyneside General Hospital, North Shields""",434256,570374
"""PI00223""","""Northampton General Hospital""",476488,260416
"""PI00224""","""Northern General Hospital""",436257,390448
"""PI00225""","""Northwick Park Hospital, Harrow, North London""",516346,187580
"""PI00226""","""Queen's Medical Centre, Nottingham""",454780,338825
"""PI00227""","""Peterborough City Hospital (Edith Cavell Campus)""",516668,299849
"""PI00228""","""Pilgrim Hospital, Boston, Lincolnshire""",533793,345611
"""PI00229""","""Pinderfields General Hospital, Wakefield""",433955,421890
"""PI00230""","""Pontefract General Infirmary""",445795,421770
"""PI00231""","""Poole Hospital""",401990,91370
"""PI00232""","""Princess Alexandra Hospital, Harlow""",543962,210090
"""PI00233""","""Princess Royal Hospital, Haywards Heath""",534070,123045
"""PI00234""","""Princess Royal University Hospital, Orpington, Kent""",543383,164995
"""PI00235""","""Queen Alexandra Hospital, Portsmouth""",465470,105970
"""PI00236""","""Queen Elizabeth Hospital, Edgbaston, Birmingham""",404029,283542
"""PI00237""","""Queen Elizabeth Hospital, Woolwich, London""",542548,177516
"""PI00238""","""Queen Elizabeth II Hospital, Welwyn Garden City""",525095,210967
"""PI00239""","""Queen Elizabeth The Queen Mother Hospital, Margate""",635895,169585
"""PI00240""","""Queen Mary's Hospital, Sidcup""",546334,170986
"""PI00241""","""Queen's Hospital, Romford""",551183,187829
"""PI00242""","""Queen's Hospital, Burton Upon Trent""",423162,324625
"""PI00243""","""Rochdale Infirmary""",389624,414092
"""PI00244""","""Rotherham District Hospital""",443795,391046
"""PI00245""","""Royal Albert Edward Infirmary, Wigan""",358447,407030
"""PI00246""","""Royal Berkshire Hospital, Reading""",472565,172820
"""PI00247""","""Royal Blackburn Hospital, Blackburn""",369213,426768
"""PI00248""","""Royal Bolton Hospital, Bolton""",371562,406385
"""PI00249""","""Royal Bournemouth General Hospital""",412739,94135
"""PI00250""","""Royal Cornwall Hospital, Treliske, Truro""",179640,45257
"""PI00251""","""Royal Derby Hospital, Derby""",432732,334990
"""PI00252""","""Royal Devon and Exeter Hospital, Wonford, Exeter""",293711,91836
"""PI00253""","""Royal Free Hospital, Hampstead, London""",527282,185491
"""PI00254""","""Royal Hampshire County Hospital, Winchester""",446875,129360
"""PI00255""","""Royal Lancaster Infirmary, Lancaster""",347754,460997
"""PI00256""","""Royal Oldham Hospital, Oldham""",392000,406258
"""PI00257""","""Royal Preston Hospital, Preston""",353495,433014
"""PI00258""","""Royal Shrewsbury Hospital, Shrewsbury""",346564,312626
"""PI00259""","""Royal Surrey County Hospital, Guildford""",497304,150015
"""PI00260""","""Royal Sussex County Hospital, Brighton""",532655,103880
"""PI00261""","""Royal United Hospital, Bath""",372916,165930
"""PI00262""","""Royal Victoria Infirmary, Newcastle""",424540,565080
"""PI00263""","""Russells Hall Hospital, Dudley, West Midlands""",392120,289316
"""PI00264""","""Salford Royal Hospital, Salford, Greater Manchester""",378723,399050
"""PI00265""","""Salisbury District Hospital""",414833,127300
"""PI00266""","""Sandwell General Hospital, West Bromwich""",400877,292328
"""PI00267""","""Scarborough General Hospital""",501887,488433
"""PI00268""","""Scunthorpe General Hospital""",488340,410925
"""PI00269""","""Sheffield Children's Hospital""",433940,387230
"""PI00270""","""Skegness and District General Hospital""",556100,363452
"""PI00271""","""Solihull Hospital""",415383,279967
"""PI00272""","""South Tyneside District Hospital, South Shields""",436545,564305
"""PI00273""","""Southampton General Hospital""",439845,115035
"""PI00274""","""Southend Hospital""",586530,187275
"""PI00275""","""Southlands Hospital, Shoreham-by-Sea""",522869,106080
"""PI00276""","""Southport and Formby District General Hospital""",335355,415620
"""PI00277""","""St George's Hospital, Tooting, London""",527093,171315
"""PI00278""","""St Helier Hospital""",526535,166125
"""PI00279""","""St James's University Hospital (Jimmy's), Leeds""",431713,434635
"""PI00280""","""St Mary's Hospital, Paddington, London""",526840,181384
"""PI00281""","""St Peter's Hospital, Chertsey, Surrey""",502603,165151
"""PI00282""","""St Richard's Hospital, Chichester""",486757,105497
"""PI00283""","""St Thomas' Hospital, London""",530620,179335
"""PI00284""","""Watford General Hospital""",510479,195738
"""PI00285""","""Southwell Minster, Church Street, Southwell""",470110,353884
